Timestamp,User,Action,Record Type Name,Record Type URL Stub,Record Identifier,View,Filters,Environment,Site URL Stub
13 Dec 2017 09:15:10 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record Dashboard,User,U1TzGg,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_10,summary,N/A,Site,company-site
13 Dec 2017 09:15:13 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_10,N/A,N/A,Site,company-site
13 Dec 2017 09:15:17 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_10,N/A,N/A,Site,company-site
13 Dec 2017 09:15:26 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_10,N/A,N/A,Site,company-site
13 Dec 2017 09:15:41 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record List,User,U1TzGg,N/A,N/A,"(active = ""1"")",Site,company-site
13 Dec 2017 09:15:47 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record Dashboard,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_68,summary,N/A,Site,company-site
13 Dec 2017 09:15:50 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_68,N/A,N/A,Site,company-site
13 Dec 2017 09:15:53 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_68,N/A,N/A,Site,company-site
13 Dec 2017 09:16:04 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_68,N/A,N/A,Site,company-site
13 Dec 2017 09:17:46 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
13 Dec 2017 09:17:57 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
13 Dec 2017 09:18:20 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
