Timestamp,User,Action,Site,Page
23 Dec 2017 13:18:29 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
23 Dec 2017 13:18:31 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
23 Dec 2017 13:18:39 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,company-site,actions
23 Dec 2017 13:18:44 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Site Action Start Form,company-site,actions
23 Dec 2017 13:18:58 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,company-site,users
23 Dec 2017 13:21:08 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Report,incident-detail,incident-project-analytics
23 Dec 2017 13:21:10 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
23 Dec 2017 13:21:18 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,company-site,actions
23 Dec 2017 13:24:58 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Site Action Start Form,company-site,actions
23 Dec 2017 13:25:07 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Action Start Form,incident-detail,Action
23 Dec 2017 13:26:38 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,company-site,company
23 Dec 2017 13:26:42 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,company-site,users
23 Dec 2017 13:26:43 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,company-site,company
24 Dec 2017 06:28:04 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record List,incident-detail,project
